Title,Year,Director,Stars,Duration,Trailer_Duration,Genre,Rating,Movie_url
The Hunt ,2012,Thomas Vinterberg,"Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp",1h 55min,2:11,Drama,8.3 / 10,https://www.imdb.com/title/tt2106476/
The Great Dictator ,1940,Charles Chaplin,"Charles Chaplin,Paulette Goddard,Jack Oakie",2h 5min,1:32,Comedy,8.4 / 10,https://www.imdb.com/title/tt0032553/
Paths of Glory ,1957,Stanley Kubrick,"Kirk Douglas,Ralph Meeker,Adolphe Menjou",1h 28min,3:04,Drama,8.4 / 10,https://www.imdb.com/title/tt0050825/
Sunset Blvd. ,1950,Billy Wilder,"William Holden,Gloria Swanson,Erich von Stroheim",1h 50min,3:14,Drama,8.4 / 10,https://www.imdb.com/title/tt0043014/
The Shining ,1980,Stanley Kubrick,"Jack Nicholson,Shelley Duvall,Danny Lloyd",2h 26min,0:54,Drama,8.4 / 10,https://www.imdb.com/title/tt0081505/
High and Low ,1963,Akira Kurosawa,"Toshirô Mifune,Yutaka Sada,Tatsuya Nakadai",2h 23min,3:39,Crime,8.4 / 10,https://www.imdb.com/title/tt0057565/
Oldboy ,2003,Chan-wook Park,"Min-sik Choi,Ji-Tae Yoo,Hye-jeong Kang",2h,1:35,Action,8.4 / 10,https://www.imdb.com/title/tt0364569/
Witness for the Prosecution ,1957,Billy Wilder,"Tyrone Power,Marlene Dietrich,Charles Laughton",1h 56min,3:09,Crime,8.4 / 10,https://www.imdb.com/title/tt0051201/
Apocalypse Now ,1979,Francis Ford Coppola,"Martin Sheen,Marlon Brando,Robert Duvall",2h 27min,1:31,Drama,8.4 / 10,https://www.imdb.com/title/tt0078788/
The Prestige ,2006,Christopher Nolan,"Christian Bale,Hugh Jackman,Scarlett Johansson",2h 10min,2:35,Drama,8.5 / 10,https://www.imdb.com/title/tt0482571/
Whiplash ,2014,Damien Chazelle,"Miles Teller,J.K. Simmons,Melissa Benoist",1h 46min,2:08,Drama,8.5 / 10,https://www.imdb.com/title/tt2582802/
The Intouchables ,2011,Olivier Nakache,"François Cluzet,Omar Sy,Anne Le Ny",1h 52min,2:19,Biography,8.5 / 10,https://www.imdb.com/title/tt1675434/
It's a Wonderful Life ,1946,Frank Capra,"James Stewart,Donna Reed,Lionel Barrymore",2h 10min,1:00,Drama,8.6 / 10,https://www.imdb.com/title/tt0038650/
Se7en ,1995,David Fincher,"Morgan Freeman,Brad Pitt,Kevin Spacey",2h 7min,2:17,Crime,8.6 / 10,https://www.imdb.com/title/tt0114369/
Once Upon a Time in America ,1984,Sergio Leone,"Robert De Niro,James Woods,Elizabeth McGovern",3h 49min,2:41,Crime,8.4 / 10,https://www.imdb.com/title/tt0087843/
The Silence of the Lambs ,1991,Jonathan Demme,"Jodie Foster,Anthony Hopkins,Lawrence A. Bonney",1h 58min,1:49,Crime,8.6 / 10,https://www.imdb.com/title/tt0102926/
Joker ,2019,Todd Phillips,"Joaquin Phoenix,Robert De Niro,Zazie Beetz",2h 2min,2:25,Crime,8.5 / 10,https://www.imdb.com/title/tt7286456/
Life Is Beautiful ,1997,Roberto Benigni,"Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini",1h 56min,1:33,Comedy,8.6 / 10,https://www.imdb.com/title/tt0118799/
City of God ,2002,Fernando Meirelles,"Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele",2h 10min,0:59,Crime,8.6 / 10,https://www.imdb.com/title/tt0317248/
The Green Mile ,1999,Frank Darabont,"Tom Hanks,Michael Clarke Duncan,David Morse",3h 9min,0:31,Crime,8.6 / 10,https://www.imdb.com/title/tt0120689/
Parasite ,2019,Bong Joon Ho,"Kang-ho Song,Sun-kyun Lee,Yeo-jeong Jo",2h 12min,2:03,Comedy,8.6 / 10,https://www.imdb.com/title/tt6751668/
Saving Private Ryan ,1998,Steven Spielberg,"Tom Hanks,Matt Damon,Tom Sizemore",2h 49min,2:10,Drama,8.6 / 10,https://www.imdb.com/title/tt0120815/
One Flew Over the Cuckoo's Nest ,1975,Milos Forman,"Jack Nicholson,Louise Fletcher,Will Sampson",2h 13min,2:35,Drama,8.7 / 10,https://www.imdb.com/title/tt0073486/
Harakiri ,1962,Masaki Kobayashi,"Tatsuya Nakadai,Akira Ishihama,Shima Iwashita",2h 13min,,Action,8.7 / 10,https://www.imdb.com/title/tt0056058/
Interstellar ,2014,Christopher Nolan,"Matthew McConaughey,Anne Hathaway,Jessica Chastain",2h 49min,2:28,Adventure,8.6 / 10,https://www.imdb.com/title/tt0816692/
Goodfellas ,1990,Martin Scorsese,"Robert De Niro,Ray Liotta,Joe Pesci",2h 26min,1:31,Biography,8.7 / 10,https://www.imdb.com/title/tt0099685/
Forrest Gump ,1994,Robert Zemeckis,"Tom Hanks,Robin Wright,Gary Sinise",2h 22min,3:54,Drama,8.8 / 10,https://www.imdb.com/title/tt0109830/
The Lord of the Rings: The Two Towers ,2002,Peter Jackson,"Elijah Wood,Ian McKellen,Viggo Mortensen",2h 59min,2:02,Action,8.7 / 10,https://www.imdb.com/title/tt0167261/
12 Angry Men ,1957,Sidney Lumet,"Henry Fonda,Lee J. Cobb,Martin Balsam",1h 36min,1:36,Crime,8.9 / 10,https://www.imdb.com/title/tt0050083/
The Lord of the Rings: The Fellowship of the Ring ,2001,Peter Jackson,"Elijah Wood,Ian McKellen,Orlando Bloom",2h 58min,2:02,Action,8.8 / 10,https://www.imdb.com/title/tt0120737/
Fight Club ,1999,David Fincher,"Brad Pitt,Edward Norton,Meat Loaf",2h 19min,2:00,Drama,8.8 / 10,https://www.imdb.com/title/tt0137523/
Schindler's List ,1993,Steven Spielberg,"Liam Neeson,Ralph Fiennes,Ben Kingsley",3h 15min,2:38,Biography,8.9 / 10,https://www.imdb.com/title/tt0108052/
Hamilton ,2020,Thomas Kail,"Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.",2h 40min,1:01,Biography,8.8 / 10,https://www.imdb.com/title/tt8503618/
Pulp Fiction ,1994,Quentin Tarantino,"John Travolta,Uma Thurman,Samuel L. Jackson",2h 34min,1:21,Crime,8.9 / 10,https://www.imdb.com/title/tt0110912/
The Godfather ,1972,Francis Ford Coppola,"Marlon Brando,Al Pacino,James Caan",2h 55min,1:15,Crime,9.2 / 10,https://www.imdb.com/title/tt0068646/
The Lord of the Rings: The Return of the King ,2003,Peter Jackson,"Elijah Wood,Viggo Mortensen,Ian McKellen",3h 21min,2:02,Action,8.9 / 10,https://www.imdb.com/title/tt0167260/
The Godfather: Part II ,1974,Francis Ford Coppola,"Al Pacino,Robert De Niro,Robert Duvall",3h 22min,3:19,Crime,9.0 / 10,https://www.imdb.com/title/tt0071562/
The Dark Knight ,2008,Christopher Nolan,"Christian Bale,Heath Ledger,Aaron Eckhart",2h 32min,0:33,Action,9.0 / 10,https://www.imdb.com/title/tt0468569/
Seven Samurai ,1954,Akira Kurosawa,"Toshirô Mifune,Takashi Shimura,Keiko Tsushima",3h 27min,,Action,8.6 / 10,https://www.imdb.com/title/tt0047478/
